no,name,code,1950,2018,2019,2020,2030
156,Saint Martin (French part),663,2999.0,37264.0,38002.0,38659.0,43261.0
157,Saint Pierre and Miquelon,666,4567.0,5845.0,5821.0,5795.0,5675.0
158,Saint Vincent and the Grenadines,670,66997.0,110210.0,110593.0,110947.0,113041.0
159,Samoa,882,82106.0,196128.0,197093.0,198410.0,220368.0
160,San Marino,674,12774.0,33784.0,33864.0,33938.0,34412.0
161,Sao Tome and Principe,678,59998.0,211032.0,215048.0,219161.0,268242.0
162,Saudi Arabia,682,3121340.0,33702757.0,34268529.0,34813867.0,39322336.0
163,Senegal,686,2486642.0,15854324.0,16296362.0,16743930.0,21551461.0
164,Serbia,688,6732252.0,8802741.0,8772228.0,8737370.0,8250433.0
165,Seychelles,690,36325.0,97094.0,97741.0,98340.0,102538.0
166,Sierra Leone,694,2041201.0,7650149.0,7813207.0,7976985.0,9648679.0
167,Singapore,702,1022095.0,5757503.0,5804343.0,5850343.0,6262465.0
168,Sint Maarten (Dutch part),534,1490.0,41936.0,42389.0,42882.0,48074.0
169,Slovakia,703,3436576.0,5453017.0,5457012.0,5459643.0,5403406.0
170,Slovenia,705,1473093.0,2077835.0,2078654.0,2078931.0,2056201.0
171,Solomon Islands,90,89793.0,652856.0,669821.0,686878.0,864603.0
172,Somalia,706,2264076.0,15008225.0,15442906.0,15893219.0,21191041.0
173,South Africa,710,13628434.0,57792520.0,58558267.0,59308690.0,65956090.0
174,South Sudan,728,2482306.0,10975924.0,11062114.0,11193729.0,13839272.0
175,Spain,724,28069734.0,46692863.0,46736782.0,46754783.0,46230147.0
176,Sri Lanka,144,7971098.0,21228760.0,21323734.0,21413250.0,22023018.0
177,Sudan,729,5733789.0,41801532.0,42813237.0,43849269.0,55253531.0
178,Suriname,740,214996.0,575987.0,581363.0,586634.0,632399.0
179,Svalbard and Jan Mayen,744,1428.0,,,,
180,Sweden,752,7009913.0,9971630.0,10036391.0,10099270.0,10629973.0
181,Switzerland,756,4668089.0,8525614.0,8591361.0,8654618.0,9185114.0
182,Tajikistan,762,1531507.0,9100847.0,9321023.0,9537642.0,11557365.0
183,Thailand,764,20710353.0,69428454.0,69625581.0,69799978.0,70345543.0
184,Togo,768,1395451.0,7889095.0,8082359.0,8278736.0,10421919.0
185,Tokelau,772,1572.0,1318.0,1330.0,1350.0,1448.0
186,Tonga,776,47217.0,103199.0,104497.0,105697.0,115616.0
187,Trinidad and Tobago,780,645626.0,1389841.0,1394969.0,1399491.0,1413413.0
188,Tunisia,788,3605312.0,11565203.0,11694721.0,11818618.0,12755764.0
189,Turkey,792,21408398.0,82340090.0,83429607.0,84339067.0,89157785.0
190,Turkmenistan,795,1210998.0,5850902.0,5942094.0,6031187.0,6782360.0
191,Turks and Caicos Islands,796,5044.0,37667.0,38194.0,38718.0,43604.0
192,Tuvalu,798,4676.0,11505.0,11655.0,11792.0,13164.0
193,Uganda,800,5158191.0,42729032.0,44269587.0,45741000.0,59437922.0
194,Ukraine,804,37297640.0,44246158.0,43993643.0,43733759.0,40882333.0
195,United Arab Emirates,784,69594.0,9630966.0,9770526.0,9890400.0,10661076.0
196,Uruguay,858,2238501.0,3449290.0,3461731.0,3473727.0,3569471.0
197,Uzbekistan,860,6264058.0,32476232.0,32981714.0,33469199.0,37418450.0
198,Vanuatu,548,47696.0,292675.0,299882.0,307150.0,383377.0
199,Wallis and Futuna,876,6994.0,11653.0,11436.0,11246.0,10386.0
200,Western Sahara,732,13763.0,567396.0,582458.0,597330.0,737349.0
201,Yemen,887,4661279.0,28498683.0,29161922.0,29825968.0,36406895.0
202,Zambia,894,2310436.0,17351714.0,17861034.0,18383956.0,24325502.0
203,Zimbabwe,716,2746852.0,14438812.0,14645473.0,14862927.0,17596441.0
